rating,comment
Pink,"Feddrov seems to struggle to keep up with what we are studying in class. He needs to improve all his skills (reading, writing, speaking and listening). It is important that he puts in lots of time outside of class to build up his speed at comprehending information and communicating his ideas. It is strongly advised he join both listening and writing workshops."
Green,
Red,"I am very uncertain over Fedrov's English ability and capacity for understanding the course. He seems to have a lot of difficulty in understanding the concepts and ideas we examine, and each time I have asked him questions during class he has been unable to answer. His homework was a simple copy-paste from the slides, without any proof of extra reading or research on the subject.  
He has to understand that he will have to put a lot of work if he is to pass the course and much more effort if he is to progress.
I would advice him to attend as many Workshops as possible, not only Psychology but for English language skills as well. In addition, he has to make a glossary of concepts we examine, if he has not started writing one."
Red,I am really concerned with Fedrov's ability to follow and understand the course. I have already shared my concerns with him and we have agreed that he will be doing extra work for both Sociology and Psychology. He will be also attending the Workshops after Reading Week.
Red,"Your average exam score is concerningly low. You need to try harder to communicate in English in class and let me know when you need help understanding. You will need to attend the listening and writing workshops next term as well as regularly practise your reading, writing and listening skills outside of class. There are many recommendations for how to do this on Moodle. You should also make sure you complete the reading practice tests at the back of the AES book."
Amber,Chenye works well in classes and has a good understanding of the subject. He needs more self-study to progress and achieves his goal.
Amber,"You have to improve your speaking skills and I would like you to take more initiative towards this. Try to speak more in class. You should start building your vocabulary; have you started what I advised you of (a vocabulary list)?Your formative showed that you have some ability and understanding of what we are covering but you have to improve. I hope you have understood what we mean by critical analysis and the examples I have used for this. You are supposed to write academically, using evidence to support your argument. And you have been shown how to do that.You should continue to attend workshops."
Amber,Your formative assignment was okay but you will need to improve on the summative to attain a progression mark. You do have the ability to improve on that but what is required of you is concentration skills and commitment.You have to improve your speaking skills and I would like you to take more initiative towards this. Your overall English skills need to improve but I can see you are putting some effort towards that direction.
Pink,"You have been a satisfactory student in class and have sometimes tried hard to understand what we have studied. However, your listening, reading and writing exams results are concerningly low. You need to attend the listening and writing workshops as well as regularly practice your writing, reading and listening skills outside of class. There are many recommendations for how to do this on Moodle for example the listening videos with questions or TED talks for note-taking skills and strategies. You should also make sure you complete the reading practice tests at the back of the AES book."
Amber,
Amber,
Amber,
Pink,"Fedrov needs to contribute more in class and always be prepared. His writing, reading and listening grades all need to improve to ensure progression to his next chosen course. To achieve this he should attend listening and writing workshops, use the grammar book to build up his writing skills, read more frequently to build up vocabulary and regularly listen and complete all of the practice tests in the AES books."
Amber,He needs to pay more attention and keep up with the work; I do not think he is putting in the required effort for the course. He should do self-study every week to progress and achieves his goal.
